"DATA_LECTURA","DATA_EXTREM","CODI_ESTACIO","ACRÒNIM","VALOR"
2022-01-03,NA,"D5","RS24h",8.1
2022-01-03,NA,"D5","VVM10",2.9
2022-01-03,NA,"D5","DVM10",239
2022-01-03,"22:32:00","D5","VVX10",10.2
2022-01-03,"22:32:00","D5","DVVX10",276
2022-01-03,NA,"X2","TM",11
2022-01-03,"14:08:00","X2","TX",15.6
2022-01-03,"06:16:00","X2","TN",7.3
2022-01-03,NA,"X2","HRM",85
2022-01-03,"03:38:00","X2","HRX",98
2022-01-03,"10:23:00","X2","HRN",57
2022-01-03,NA,"X4","TM",11.8
2022-01-03,"14:06:00","X4","TX",15.8
2022-01-03,"07:09:00","X4","TN",8.4
2022-01-03,NA,"X4","HRM",80
2022-01-03,"02:30:00","X4","HRX",100
2022-01-03,"10:21:00","X4","HRN",54
2022-01-03,NA,"X4","PM",1019.6
2022-01-03,"00:03:00","X4","PX",1024.5
2022-01-03,"23:58:00","X4","PN",1013.5
2022-01-03,NA,"X4","PPT",0
2022-01-03,NA,"X4","RS24h",7.9
2022-01-03,NA,"X4","VVM10",1.8
2022-01-03,NA,"X4","DVM10",248
2022-01-03,"16:07:00","X4","VVX10",6.1
2022-01-03,"16:07:00","X4","DVVX10",256
2022-01-03,NA,"X8","TM",10.4
2022-01-03,"13:56:00","X8","TX",15.9
2022-01-03,"06:13:00","X8","TN",6.4
2022-01-03,NA,"X8","HRM",90
2022-01-03,"22:00:00","X8","HRX",100
2022-01-03,"11:01:00","X8","HRN",54
2022-01-03,NA,"X8","PM",1013.8
2022-01-03,"00:01:00","X8","PX",1018.3
2022-01-03,"23:58:00","X8","PN",1007.8
2022-01-03,NA,"X8","PPT",0.1
2022-01-03,NA,"X8","RS24h",7.8
2022-01-03,NA,"X8","VVM10",1.2
2022-01-03,NA,"X8","DVM10",260
2022-01-03,"15:02:00","X8","VVX10",5
2022-01-03,"15:02:00","X8","DVVX10",219
2022-01-04,NA,"D5","TM",14.7
2022-01-04,"13:43:00","D5","TX",20.9
2022-01-04,"23:59:00","D5","TN",10
2022-01-04,NA,"D5","HRM",55
2022-01-04,"22:53:00","D5","HRX",93
2022-01-04,"14:55:00","D5","HRN",33
2022-01-04,NA,"D5","PM",962.5
2022-01-04,"00:00:00","D5","PX",968.8
2022-01-04,"23:51:00","D5","PN",956.1
2022-01-04,NA,"D5","PPT",0
2022-01-04,NA,"D5","RS24h",8.9
2022-01-04,NA,"D5","VVM10",4.4
2022-01-04,NA,"D5","DVM10",260
2022-01-04,"23:53:00","D5","VVX10",10.9
2022-01-04,"23:53:00","D5","DVVX10",16
2022-01-04,NA,"X2","TM",14.3
2022-01-04,"14:33:00","X2","TX",19.8
2022-01-04,"00:00:00","X2","TN",10.4
2022-01-04,NA,"X2","HRM",73
2022-01-04,"23:17:00","X2","HRX",95
2022-01-04,"11:30:00","X2","HRN",48
2022-01-04,NA,"X4","TM",14.6
2022-01-04,"14:33:00","X4","TX",20.8
2022-01-04,"05:30:00","X4","TN",11.1
2022-01-04,NA,"X4","HRM",70
2022-01-04,"23:00:00","X4","HRX",98
2022-01-04,"11:34:00","X4","HRN",45
2022-01-04,NA,"X4","PM",1006.5
2022-01-04,"00:00:00","X4","PX",1013.5
2022-01-04,"23:36:00","X4","PN",1000.3
2022-01-04,NA,"X4","PPT",0
2022-01-04,NA,"X4","RS24h",9
2022-01-04,NA,"X4","VVM10",2.1
2022-01-04,NA,"X4","DVM10",264
2022-01-04,"00:53:00","X4","VVX10",6.4
2022-01-04,"00:53:00","X4","DVVX10",260
2022-01-04,NA,"X8","TM",13.3
2022-01-04,"14:27:00","X8","TX",20.5
2022-01-04,"04:00:00","X8","TN",8.3
2022-01-04,NA,"X8","HRM",77
2022-01-04,"23:30:00","X8","HRX",100
2022-01-04,"11:19:00","X8","HRN",51
2022-01-04,NA,"X8","PM",1000.9
2022-01-04,"00:00:00","X8","PX",1007.8
2022-01-04,"23:44:00","X8","PN",994.4
2022-01-04,NA,"X8","PPT",0
2022-01-04,NA,"X8","RS24h",8.6
2022-01-04,NA,"X8","VVM10",1.3
2022-01-04,NA,"X8","DVM10",253
2022-01-04,"23:50:00","X8","VVX10",5
2022-01-04,"23:50:00","X8","DVVX10",68
2022-01-05,NA,"D5","TM",7.7
2022-01-05,"00:39:00","D5","TX",10.8
2022-01-05,"23:52:00","D5","TN",5.5
2022-01-05,NA,"D5","HRM",78
2022-01-05,"02:04:00","D5","HRX",99
2022-01-05,"21:33:00","D5","HRN",41
2022-01-05,NA,"D5","PM",961.2
2022-01-05,"23:51:00","D5","PX",964.9
2022-01-05,"00:07:00","D5","PN",956.2
2022-01-05,NA,"D5","PPT",11
2022-01-05,NA,"D5","RS24h",5.1
2022-01-05,NA,"D5","VVM10",4.9
2022-01-05,NA,"D5","DVM10",345
2022-01-05,"05:05:00","D5","VVX10",13.9
2022-01-05,"05:05:00","D5","DVVX10",345
2022-01-05,NA,"X2","TM",10.6
2022-01-05,"01:14:00","X2","TX",13.7
2022-01-05,"23:30:00","X2","TN",6.6
2022-01-05,NA,"X2","HRM",75
2022-01-05,"07:37:00","X2","HRX",93
2022-01-05,"13:07:00","X2","HRN",48
2022-01-05,NA,"X4","TM",11.2
2022-01-05,"13:45:00","X4","TX",14.1
2022-01-05,"23:35:00","X4","TN",8.6
2022-01-05,NA,"X4","HRM",68
2022-01-05,"06:10:00","X4","HRX",99
2022-01-05,"13:47:00","X4","HRN",42
2022-01-05,NA,"X4","PM",1005.9
2022-01-05,"23:30:00","X4","PX",1010.3
2022-01-05,"00:41:00","X4","PN",1000.4
2022-01-05,NA,"X4","PPT",7
2022-01-05,NA,"X4","RS24h",4.9
2022-01-05,NA,"X4","VVM10",2.1
2022-01-05,NA,"X4","DVM10",331
2022-01-05,"01:24:00","X4","VVX10",9.8
2022-01-05,"01:24:00","X4","DVVX10",86
2022-01-05,NA,"X8","TM",9.9
2022-01-05,"13:52:00","X8","TX",14.1
2022-01-05,"23:59:00","X8","TN",5.6
2022-01-05,NA,"X8","HRM",75
2022-01-05,"07:35:00","X8","HRX",100
2022-01-05,"13:53:00","X8","HRN",44
2022-01-05,NA,"X8","PM",1000.1
2022-01-05,"23:53:00","X8","PX",1004.1
2022-01-05,"00:19:00","X8","PN",994.6
2022-01-05,NA,"X8","PPT",12.2
2022-01-05,NA,"X8","RS24h",4.8
2022-01-05,NA,"X8","VVM10",2.6
2022-01-05,NA,"X8","DVM10",317
2022-01-05,"05:04:00","X8","VVX10",11.9
2022-01-05,"05:04:00","X8","DVVX10",339
2022-01-06,NA,"D5","TM",4.7
2022-01-06,"15:10:00","D5","TX",8.5
2022-01-06,"08:03:00","D5","TN",1.3
2022-01-06,NA,"D5","HRM",48
2022-01-06,"08:00:00","D5","HRX",60
2022-01-06,"14:50:00","D5","HRN",35
2022-01-06,NA,"D5","PM",967.6
2022-01-06,"23:56:00","D5","PX",971.6
2022-01-06,"01:02:00","D5","PN",964.5
2022-01-06,NA,"D5","PPT",0
2022-01-06,NA,"D5","RS24h",10
2022-01-06,NA,"D5","VVM10",8.3
2022-01-06,NA,"D5","DVM10",319
2022-01-06,"17:35:00","D5","VVX10",13.6
2022-01-06,"17:35:00","D5","DVVX10",332
2022-01-06,NA,"X2","TM",7.6
2022-01-06,"13:57:00","X2","TX",12.2
2022-01-06,"05:30:00","X2","TN",3.6
2022-01-06,NA,"X2","HRM",50
2022-01-06,"05:33:00","X2","HRX",79
2022-01-06,"13:54:00","X2","HRN",27
2022-01-06,NA,"X4","TM",8.7
2022-01-06,"15:05:00","X4","TX",13.1
2022-01-06,"08:05:00","X4","TN",6
2022-01-06,NA,"X4","HRM",39
2022-01-06,"01:08:00","X4","HRX",55
2022-01-06,"15:01:00","X4","HRN",25
2022-01-06,NA,"X4","PM",1013.1
2022-01-06,"23:51:00","X4","PX",1017
2022-01-06,"00:38:00","X4","PN",1009.8
2022-01-06,NA,"X4","PPT",0
2022-01-06,NA,"X4","RS24h",10
2022-01-06,NA,"X4","VVM10",1.7
2022-01-06,NA,"X4","DVM10",298
2022-01-06,"12:58:00","X4","VVX10",7.4
2022-01-06,"12:58:00","X4","DVVX10",329
2022-01-06,NA,"X8","TM",7
2022-01-06,"14:08:00","X8","TX",11.1
2022-01-06,"06:26:00","X8","TN",3.7
2022-01-06,NA,"X8","HRM",45
2022-01-06,"01:16:00","X8","HRX",64
2022-01-06,"14:40:00","X8","HRN",30
2022-01-06,NA,"X8","PM",1007.2
2022-01-06,"23:49:00","X8","PX",1011.1
2022-01-06,"00:34:00","X8","PN",1003.9
2022-01-06,NA,"X8","PPT",0
2022-01-06,NA,"X8","RS24h",9.7
2022-01-06,NA,"X8","VVM10",3.5
2022-01-06,NA,"X8","DVM10",308
2022-01-06,"11:55:00","X8","VVX10",10.7
2022-01-06,"11:55:00","X8","DVVX10",307
2022-01-07,NA,"D5","TM",6
2022-01-07,"14:14:00","D5","TX",12
2022-01-07,"04:25:00","D5","TN",2.4
2022-01-07,NA,"D5","HRM",50
2022-01-07,"22:01:00","D5","HRX",62
2022-01-07,"14:16:00","D5","HRN",34
2022-01-07,NA,"D5","PM",973.3
2022-01-07,"21:27:00","D5","PX",975
2022-01-07,"01:00:00","D5","PN",971.2
2022-01-07,NA,"D5","PPT",0
2022-01-07,NA,"D5","RS24h",9.7
2022-01-07,NA,"D5","VVM10",4.9
2022-01-07,NA,"D5","DVM10",317
2022-01-07,"23:31:00","D5","VVX10",11.5
2022-01-07,"23:31:00","D5","DVVX10",341
2022-01-07,NA,"X2","TM",7.6
2022-01-07,"10:36:00","X2","TX",11.8
2022-01-07,"07:40:00","X2","TN",3.3
2022-01-07,NA,"X2","HRM",55
2022-01-07,"05:07:00","X2","HRX",77
2022-01-07,"12:21:00","X2","HRN",32
2022-01-07,NA,"X4","TM",9.1
2022-01-07,"13:55:00","X4","TX",13.3
2022-01-07,"07:24:00","X4","TN",5.7
2022-01-07,NA,"X4","HRM",44
2022-01-07,"23:28:00","X4","HRX",52
2022-01-07,"12:31:00","X4","HRN",29
2022-01-07,NA,"X4","PM",1019
2022-01-07,"23:32:00","X4","PX",1020.7
2022-01-07,"00:44:00","X4","PN",1016.9
2022-01-07,NA,"X4","PPT",0
2022-01-07,NA,"X4","RS24h",9.7
2022-01-07,NA,"X4","VVM10",1.4
2022-01-07,NA,"X4","DVM10",263
2022-01-07,"21:31:00","X4","VVX10",6
2022-01-07,"21:31:00","X4","DVVX10",280
2022-01-07,NA,"X8","TM",7.6
2022-01-07,"14:30:00","X8","TX",12.7
2022-01-07,"07:23:00","X8","TN",3.9
2022-01-07,NA,"X8","HRM",49
2022-01-07,"19:14:00","X8","HRX",64
2022-01-07,"12:06:00","X8","HRN",32
2022-01-07,NA,"X8","PM",1013.1
2022-01-07,"20:47:00","X8","PX",1014.8
2022-01-07,"00:55:00","X8","PN",1010.8
2022-01-07,NA,"X8","PPT",0
2022-01-07,NA,"X8","RS24h",9.4
2022-01-07,NA,"X8","VVM10",2.3
2022-01-07,NA,"X8","DVM10",292
2022-01-07,"00:09:00","X8","VVX10",9.5
2022-01-07,"00:09:00","X8","DVVX10",330
2022-01-08,NA,"D5","TM",7
2022-01-08,"14:30:00","D5","TX",12.1
2022-01-08,"07:07:00","D5","TN",4.8
2022-01-08,NA,"D5","HRM",64
2022-01-08,"09:15:00","D5","HRX",74
2022-01-08,"23:57:00","D5","HRN",48
2022-01-08,NA,"D5","PM",971.5
2022-01-08,"01:45:00","D5","PX",974.4
2022-01-08,"23:52:00","D5","PN",965.5
2022-01-08,NA,"D5","PPT",0
2022-01-08,NA,"D5","RS24h",6
2022-01-08,NA,"D5","VVM10",6
2022-01-08,NA,"D5","DVM10",295
2022-01-08,"06:06:00","D5","VVX10",16.7
2022-01-08,"06:06:00","D5","DVVX10",320
2022-01-08,NA,"X2","TM",10.1
2022-01-08,"15:12:00","X2","TX",13.8
2022-01-08,"00:07:00","X2","TN",7
2022-01-08,NA,"X2","HRM",56
2022-01-08,"16:41:00","X2","HRX",69
2022-01-08,"23:55:00","X2","HRN",43
2022-01-08,NA,"X4","TM",10.5
2022-01-08,"15:03:00","X4","TX",14.4
2022-01-08,"08:39:00","X4","TN",8.3
2022-01-08,NA,"X4","HRM",51
2022-01-08,"16:31:00","X4","HRX",65
2022-01-08,"23:56:00","X4","HRN",40
2022-01-08,NA,"X4","PM",1017.1
2022-01-08,"09:53:00","X4","PX",1020.5
2022-01-08,"23:59:00","X4","PN",1011.3
2022-01-08,NA,"X4","PPT",0
2022-01-08,NA,"X4","RS24h",6.1
2022-01-08,NA,"X4","VVM10",2.2
2022-01-08,NA,"X4","DVM10",279
2022-01-08,"07:19:00","X4","VVX10",12.4
2022-01-08,"07:19:00","X4","DVVX10",328
2022-01-08,NA,"X8","TM",9.6
2022-01-08,"14:03:00","X8","TX",13.7
2022-01-08,"00:04:00","X8","TN",6.9
2022-01-08,NA,"X8","HRM",56
2022-01-08,"16:17:00","X8","HRX",72
2022-01-08,"23:58:00","X8","HRN",41
2022-01-08,NA,"X8","PM",1011.2
2022-01-08,"10:13:00","X8","PX",1014.3
2022-01-08,"23:59:00","X8","PN",1005.4
2022-01-08,NA,"X8","PPT",0
2022-01-08,NA,"X8","RS24h",6
2022-01-08,NA,"X8","VVM10",3.7
2022-01-08,NA,"X8","DVM10",296
2022-01-08,"07:24:00","X8","VVX10",14.5
2022-01-08,"07:24:00","X8","DVVX10",318
2022-01-09,NA,"D5","TM",9.1
2022-01-09,"14:48:00","D5","TX",13.5
2022-01-09,"07:18:00","D5","TN",6.8
2022-01-09,NA,"D5","HRM",68
2022-01-09,"23:59:00","D5","HRX",90
2022-01-09,"00:00:00","D5","HRN",49
2022-01-09,NA,"D5","PM",964.3
2022-01-09,"10:06:00","D5","PX",966.3
2022-01-09,"23:59:00","D5","PN",962.2
2022-01-09,NA,"D5","PPT",0
2022-01-09,NA,"D5","RS24h",8.5
2022-01-09,NA,"D5","VVM10",3.8
2022-01-09,NA,"D5","DVM10",290
2022-01-09,"01:55:00","D5","VVX10",14.6
2022-01-09,"01:55:00","D5","DVVX10",326
2022-01-09,NA,"X2","TM",12.3
2022-01-09,"14:49:00","X2","TX",15.3
2022-01-09,"07:49:00","X2","TN",8.9
2022-01-09,NA,"X2","HRM",58
2022-01-09,"23:56:00","X2","HRX",81
2022-01-09,"00:08:00","X2","HRN",40
2022-01-09,NA,"X4","TM",12.6
2022-01-09,"15:02:00","X4","TX",15.9
2022-01-09,"07:34:00","X4","TN",10.2
2022-01-09,NA,"X4","HRM",54
2022-01-09,"23:59:00","X4","HRX",70
2022-01-09,"00:30:00","X4","HRN",40
2022-01-09,NA,"X4","PM",1009.2
2022-01-09,"00:30:00","X4","PX",1011.6
2022-01-09,"23:59:00","X4","PN",1006.9
2022-01-09,NA,"X4","PPT",0
2022-01-09,NA,"X4","RS24h",8.7
2022-01-09,NA,"X4","VVM10",3.2
2022-01-09,NA,"X4","DVM10",315
2022-01-09,"11:00:00","X4","VVX10",16
2022-01-09,"11:00:00","X4","DVVX10",292
2022-01-09,NA,"X8","TM",12
2022-01-09,"14:52:00","X8","TX",14.9
2022-01-09,"07:47:00","X8","TN",9.9
2022-01-09,NA,"X8","HRM",57
2022-01-09,"23:59:00","X8","HRX",74
2022-01-09,"00:02:00","X8","HRN",41
2022-01-09,NA,"X8","PM",1003.5
2022-01-09,"10:12:00","X8","PX",1005.6
2022-01-09,"23:47:00","X8","PN",1001.3
2022-01-09,NA,"X8","PPT",0
2022-01-09,NA,"X8","RS24h",8.4
2022-01-09,NA,"X8","VVM10",5.2
2022-01-09,NA,"X8","DVM10",310
2022-01-09,"05:01:00","X8","VVX10",17.3
2022-01-09,"05:01:00","X8","DVVX10",315
2022-01-10,NA,"D5","TM",7.9
2022-01-10,"23:11:00","D5","TX",9.3
2022-01-10,"16:30:00","D5","TN",6.6
2022-01-10,NA,"D5","HRM",94
2022-01-10,"16:30:00","D5","HRX",100
2022-01-10,"23:09:00","D5","HRN",73
2022-01-10,NA,"D5","PM",966.1
2022-01-10,"23:47:00","D5","PX",971.8
2022-01-10,"04:41:00","D5","PN",961.7
2022-01-10,NA,"D5","PPT",2
2022-01-10,NA,"D5","RS24h",0.6
2022-01-10,NA,"D5","VVM10",3.2
2022-01-10,NA,"D5","DVM10",54
2022-01-10,"01:35:00","D5","VVX10",9.4
2022-01-10,"01:35:00","D5","DVVX10",74
2022-01-10,NA,"X2","TM",10.8
2022-01-10,"02:30:00","X2","TX",12.5
2022-01-10,"00:30:00","X2","TN",9.3
2022-01-10,NA,"X2","HRM",80
2022-01-10,"13:30:00","X2","HRX",90
2022-01-10,"01:25:00","X2","HRN",73
2022-01-10,NA,"X4","TM",11.1
2022-01-10,"02:32:00","X4","TX",12.3
2022-01-10,"13:36:00","X4","TN",9.7
2022-01-10,NA,"X4","HRM",77
2022-01-10,"13:32:00","X4","HRX",99
2022-01-10,"00:02:00","X4","HRN",70
2022-01-10,NA,"X4","PM",1011.1
2022-01-10,"23:47:00","X4","PX",1017
2022-01-10,"04:43:00","X4","PN",1006.3
2022-01-10,NA,"X4","PPT",0
2022-01-10,NA,"X4","RS24h",0.7
2022-01-10,NA,"X4","VVM10",1.6
2022-01-10,NA,"X4","DVM10",54
2022-01-10,"11:25:00","X4","VVX10",7.5
2022-01-10,"11:25:00","X4","DVVX10",88
2022-01-10,NA,"X8","TM",10.2
2022-01-10,"02:41:00","X8","TX",11.7
2022-01-10,"15:30:00","X8","TN",9.1
2022-01-10,NA,"X8","HRM",88
2022-01-10,"15:30:00","X8","HRX",100
2022-01-10,"00:00:00","X8","HRN",74
2022-01-10,NA,"X8","PM",1005.3
2022-01-10,"23:50:00","X8","PX",1011.2
2022-01-10,"03:33:00","X8","PN",1000.5
2022-01-10,NA,"X8","PPT",0.3
2022-01-10,NA,"X8","RS24h",0.7
2022-01-10,NA,"X8","VVM10",1.5
2022-01-10,NA,"X8","DVM10",65
2022-01-10,"19:42:00","X8","VVX10",5.8
2022-01-10,"19:42:00","X8","DVVX10",304
2022-01-11,NA,"D5","TM",9.5
2022-01-11,"14:47:00","D5","TX",15
2022-01-11,"08:20:00","D5","TN",6.7
2022-01-11,NA,"D5","HRM",80
2022-01-11,"22:30:00","D5","HRX",100
2022-01-11,"15:05:00","D5","HRN",40
2022-01-11,NA,"D5","PM",974
2022-01-11,"23:58:00","D5","PX",977.2
2022-01-11,"00:50:00","D5","PN",971.7
2022-01-11,NA,"D5","PPT",0
2022-01-11,NA,"D5","RS24h",10.1
2022-01-11,NA,"D5","VVM10",3.2
2022-01-11,NA,"D5","DVM10",268
2022-01-11,"13:03:00","D5","VVX10",9.3
2022-01-11,"13:03:00","D5","DVVX10",259
2022-01-11,NA,"X2","TM",10.6
2022-01-11,"12:53:00","X2","TX",15.1
2022-01-11,"06:26:00","X2","TN",6.9
2022-01-11,NA,"X2","HRM",81
2022-01-11,"03:32:00","X2","HRX",96
2022-01-11,"14:44:00","X2","HRN",54
2022-01-11,NA,"X4","TM",12
2022-01-11,"14:02:00","X4","TX",16.8
2022-01-11,"06:00:00","X4","TN",8.6
2022-01-11,NA,"X4","HRM",72
2022-01-11,"05:13:00","X4","HRX",87
2022-01-11,"13:48:00","X4","HRN",31
2022-01-11,NA,"X4","PM",1019.2
2022-01-11,"23:23:00","X4","PX",1022.8
2022-01-11,"00:52:00","X4","PN",1016.8
2022-01-11,NA,"X4","PPT",0
2022-01-11,NA,"X4","RS24h",9.8
2022-01-11,NA,"X4","VVM10",1.1
2022-01-11,NA,"X4","DVM10",126
2022-01-11,"22:27:00","X4","VVX10",6.7
2022-01-11,"22:27:00","X4","DVVX10",147
2022-01-11,NA,"X8","TM",10.8
2022-01-11,"14:00:00","X8","TX",16.7
2022-01-11,"07:04:00","X8","TN",6.7
2022-01-11,NA,"X8","HRM",83
2022-01-11,"22:35:00","X8","HRX",100
2022-01-11,"14:01:00","X8","HRN",34
2022-01-11,NA,"X8","PM",1013.4
2022-01-11,"23:53:00","X8","PX",1016.8
2022-01-11,"00:32:00","X8","PN",1011
2022-01-11,NA,"X8","PPT",0
2022-01-11,NA,"X8","RS24h",9.6
2022-01-11,NA,"X8","VVM10",1.2
2022-01-11,NA,"X8","DVM10",303
2022-01-11,"13:02:00","X8","VVX10",4.9
2022-01-11,"13:02:00","X8","DVVX10",276
2022-01-12,NA,"D5","TM",7.3
2022-01-12,"13:51:00","D5","TX",10.2
2022-01-12,"20:31:00","D5","TN",5.3
2022-01-12,NA,"D5","HRM",78
2022-01-12,"06:27:00","D5","HRX",92
2022-01-12,"15:33:00","D5","HRN",61
2022-01-12,NA,"D5","PM",980
2022-01-12,"23:48:00","D5","PX",983.2
2022-01-12,"00:09:00","D5","PN",977.1
2022-01-12,NA,"D5","PPT",0
2022-01-12,NA,"D5","RS24h",6.3
2022-01-12,NA,"D5","VVM10",2.2
2022-01-12,NA,"D5","DVM10",32
2022-01-12,"23:39:00","D5","VVX10",5.7
2022-01-12,"23:39:00","D5","DVVX10",346
2022-01-12,NA,"X2","TM",9.7
2022-01-12,"10:44:00","X2","TX",12.6
2022-01-12,"23:59:00","X2","TN",5.9
2022-01-12,NA,"X2","HRM",67
2022-01-12,"07:49:00","X2","HRX",83
2022-01-12,"14:46:00","X2","HRN",52
2022-01-12,NA,"X4","TM",10.8
2022-01-12,"13:16:00","X4","TX",12.8
2022-01-12,"23:47:00","X4","TN",8.3
2022-01-12,NA,"X4","HRM",60
2022-01-12,"07:30:00","X4","HRX",70
2022-01-12,"15:03:00","X4","HRN",49
2022-01-12,NA,"X4","PM",1025.8
2022-01-12,"23:58:00","X4","PX",1029.4
2022-01-12,"00:08:00","X4","PN",1022.5
2022-01-12,NA,"X4","PPT",0
2022-01-12,NA,"X4","RS24h",8.5
2022-01-12,NA,"X4","VVM10",1.5
2022-01-12,NA,"X4","DVM10",67
2022-01-12,"14:02:00","X4","VVX10",5.4
2022-01-12,"14:02:00","X4","DVVX10",105
2022-01-12,NA,"X8","TM",9.5
2022-01-12,"10:00:00","X8","TX",13.1
2022-01-12,"23:48:00","X8","TN",5.4
2022-01-12,NA,"X8","HRM",70
2022-01-12,"07:33:00","X8","HRX",89
2022-01-12,"15:30:00","X8","HRN",57
2022-01-12,NA,"X8","PM",1019.9
2022-01-12,"23:47:00","X8","PX",1023.3
2022-01-12,"00:00:00","X8","PN",1016.8
2022-01-12,NA,"X8","PPT",0
2022-01-12,NA,"X8","RS24h",7.2
2022-01-12,NA,"X8","VVM10",1.4
2022-01-12,NA,"X8","DVM10",102
